City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,chonchi,-42.6128,-73.8092,15.56,53,1,1.92,CL,2023-10-22 21:31:51
99,qaqortoq,60.7167,-46.0333,0.42,90,100,1.63,GL,2023-10-22 21:31:51
100,tiksi,71.6872,128.8694,-16.74,100,99,1.7,RU,2023-10-22 21:29:37
101,karamsad,22.55,72.9,25.21,43,35,2.29,IN,2023-10-22 21:31:51
102,avarua,-21.2078,-159.775,26.03,83,18,3.09,CK,2023-10-22 21:31:51
103,ilulissat,69.2167,-51.1,-3.99,54,75,5.66,GL,2023-10-22 21:30:32
104,tura,25.5198,90.2201,20.64,82,83,1.57,IN,2023-10-22 21:31:52
105,saint-philippe,-21.3585,55.7679,21.77,80,19,3.28,RE,2023-10-22 21:31:52
106,xiazhuang,34.9161,118.6389,10.75,46,0,1.23,CN,2023-10-22 21:31:52
107,west island,-12.1568,96.8225,24.99,78,83,4.63,CC,2023-10-22 21:31:52
108,ushuaia,-54.8,-68.3,9.79,57,0,8.75,AR,2023-10-22 21:31:53
109,argo,37.6333,22.7333,21.96,47,30,1.72,GR,2023-10-22 21:31:53
110,dunedin,-45.8742,170.5036,12.67,63,7,2.24,NZ,2023-10-22 21:31:53
111,el granada,37.5027,-122.4694,21.79,89,75,5.66,US,2023-10-22 21:31:53
112,dobrna,46.3375,15.2264,11.96,84,86,0.97,SI,2023-10-22 21:31:53
113,corinto,37.9407,22.9573,21.81,62,25,1.06,GR,2023-10-22 21:31:54
114,motygino,58.1831,94.7592,1.32,75,100,2.64,RU,2023-10-22 21:31:54
115,alvaraes,-3.2208,-64.8042,30.93,61,85,0.63,BR,2023-10-22 21:31:54
116,praia da vitoria,38.7333,-27.0667,18.14,77,20,4.86,PT,2023-10-22 21:31:54
117,aykhal,66.0,111.5,-7.26,97,100,2.1,RU,2023-10-22 21:31:54
118,bairnsdale,-37.8333,147.6167,16.14,59,99,1.34,AU,2023-10-22 21:31:54
119,tindouf,27.6711,-8.1474,24.25,46,0,3.09,DZ,2023-10-22 21:31:55
120,punta arenas,-53.15,-70.9167,11.06,58,20,3.09,CL,2023-10-22 21:31:55
121,whitehorse,60.7161,-135.0538,-7.21,53,100,4.63,CA,2023-10-22 21:31:55
122,santiago de cao,-7.9589,-79.2392,23.07,73,49,5.66,PE,2023-10-22 21:31:55
123,jamestown,42.097,-79.2353,8.9,65,75,7.2,US,2023-10-22 21:31:55
124,mogocha,53.7333,119.7667,-1.93,73,100,0.69,RU,2023-10-22 21:31:56
125,constantia,44.1833,28.65,18.38,51,3,2.43,RO,2023-10-22 21:29:46
126,comodoro rivadavia,-45.8667,-67.5,13.92,58,0,4.63,AR,2023-10-22 21:31:56
127,shalya,57.2471,58.7298,-2.7,88,100,4.82,RU,2023-10-22 21:31:56
